T20I #,World Cup Match?,Winner,Date,Batting First,Team 1 Runs,Team 1 Wickets,Team 1 Overs,Team 1 Adjusted Run Rate,Batting Second,Team 2 Runs,Team 2 Wickets,Team 2 Overs,Team 2 Adjusted Run Rate,Ground,City,Country
316,False,Bangladesh,5/12/2013,Bangladesh,168,7,20.0,8.4,Zimbabwe,134,9,20.0,6.7,Queens Sports Club,Bulawayo,Zimbabwe
317,False,New Zealand,6/25/2013,New Zealand,201,4,20.0,10.05,England,196,5,20.0,9.8,Kennington Oval,London,England
318,False,No Result,6/27/2013,England,2,1,0.2,6.0,New Zealand,0,0,0.0,,Kennington Oval,London,England
319,False,Scotland,7/4/2013,Scotland,113,6,20.0,5.65,Kenya,78,10,18.5,4.14159292,Mannofield Park,Aberdeen,Scotland
320,False,Scotland,7/5/2013,Kenya,100,8,20.0,5.0,Scotland,106,3,18.3,5.72972973,Mannofield Park,Aberdeen,Scotland
321,False,Pakistan,7/27/2013,West Indies,152,7,20.0,7.6,Pakistan,158,8,20.0,7.9,Arnos Vale Ground,Kingstown,West Indies
322,False,Pakistan,7/28/2013,Pakistan,135,7,20.0,6.75,West Indies,124,9,20.0,6.2,Arnos Vale Ground,Kingstown,West Indies
323,False,South Africa,8/2/2013,South Africa,115,6,20.0,5.75,Sri Lanka,103,9,20.0,5.15,R Premadasa Stadium,Colombo,Sri Lanka
324,False,South Africa,8/4/2013,South Africa,145,6,20.0,7.25,Sri Lanka,123,7,20.0,6.15,Mahinda Rajapaksa International Cricket Stadium,Hambantota,Sri Lanka
325,False,Sri Lanka,8/6/2013,South Africa,163,3,20.0,8.15,Sri Lanka,164,4,18.1,9.027522936,Mahinda Rajapaksa International Cricket Stadium,Hambantota,Sri Lanka
326,False,Pakistan,8/23/2013,Pakistan,161,5,20.0,8.05,Zimbabwe,136,5,20.0,6.8,Harare Sports Club,Harare,Zimbabwe
